;ARQ1000_grau;ARQ1001_grau;ARQ1002_grau;ARQ1101_grau;ARQ1102_grau;ARQ1103_grau;ART1020_grau;ART1027_grau;ART1028_grau;ART1029_grau;ART1030_grau;ART1210_grau;ART1420_grau;CIV1301_grau;CRE0700_grau;CRE1100_grau;CRE1141_grau;HIS1430_grau;HIS1850_grau;MAT1071_grau;MAT1072_grau;SOC1139_grau;id;semestre
1200;0.71;-1.0;-1.0;0.8400000000000001;-1.0;-1.0;0.85;-1.0;-1.0;-1.0;-1.0;-1.0;0.93;-1.0;-1.0;0.82;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;aluno3226;1
1201;-1.0;0.65;-1.0;-1.0;0.74;-1.0;-1.0;0.8699999999999999;0.6599999999999999;-1.0;-1.0;0.93;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3226;2
1202;-1.0;-1.0;0.76;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;0.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.6799999999999999;0.78;aluno3226;3
1203;0.71;-1.0;-1.0;0.5900000000000001;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;0.93;-1.0;-1.0;aluno3228;1
1204;-1.0;0.72;-1.0;-1.0;0.45;-1.0;-1.0;0.9;0.62;-1.0;-1.0;0.8;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3228;2
1205;-1.0;-1.0;0.82;-1.0;-1.0;0.45;-1.0;-1.0;-1.0;0.61;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;0.9099999999999999;-1.0;-1.0;-1.0;0.7;0.85;aluno3228;3
1206;0.6599999999999999;-1.0;-1.0;0.75;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;-1.0;0.53;-1.0;-1.0;aluno3234;1
1207;-1.0;0.86;-1.0;-1.0;0.85;-1.0;-1.0;0.97;0.82;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3234;2
1208;-1.0;-1.0;1.0;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.71;0.8800000000000001;aluno3234;3
1209;0.75;-1.0;-1.0;0.71;-1.0;-1.0;0.8;-1.0;-1.0;-1.0;-1.0;-1.0;0.9400000000000001;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;0.7;-1.0;-1.0;aluno3237;1
1210;-1.0;0.8;-1.0;-1.0;0.5900000000000001;-1.0;-1.0;0.96;0.62;-1.0;-1.0;0.86;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3237;2
1211;-1.0;-1.0;0.85;-1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.51;-1.0;-1.0;-1.0;0.78;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.63;0.8300000000000001;aluno3237;3
1212;0.74;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;aluno3238;1
1213;-1.0;0.62;-1.0;-1.0;0.64;-1.0;-1.0;0.9199999999999999;0.5900000000000001;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3238;2
1214;-1.0;-1.0;0.58;-1.0;-1.0;0.61;-1.0;-1.0;-1.0;0.51;-1.0;-1.0;-1.0;0.8300000000000001;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.52;0.78;aluno3238;3
